,trainer/global_step,train_teacher_forcing_acc,_step,train_loss,_runtime,epoch,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_teacher_forcing_acc,interpolate_perplexity,extrapolate_perplexity,in_block_size,d_model,decoder_kwargs,symbol_retrieval_kwargs,out_dim,loss_ignore_idx,n_layers_enc,input_spec,abstractor_kwargs,symbol_retrieval,encoder_kwargs,group,output_spec,out_block_size,n_layers_dec,name
58,195299,,58,,12920.822147130966,49,1722858988.3278232,1.4633005857467651,0.5272911190986633,1.4633005857467651,0.5272911190986633,4.322112560272217,4.322112560272217,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
59,195299,0.7308396697044373,59,0.7280031442642212,12920.8237490654,49,1722858988.329425,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
60,199205,0.737333357334137,60,0.7049912214279175,13169.327829837799,50,1722859236.8335059,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
61,203111,0.7530770301818848,61,0.6571600437164307,13417.801852703094,51,1722859485.3075287,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
62,207017,0.7638941407203674,62,0.6224996447563171,13666.297114610672,52,1722859733.8027906,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
63,210923,0.772113025188446,63,0.5970197319984436,13914.78609251976,53,1722859982.2917686,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
64,214829,,64,,14211.431314229965,54,1722860278.9369903,1.4009209871292114,0.5560925006866455,1.4009209871292114,0.5560925006866455,4.061211585998535,4.061211585998535,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
65,214829,0.7792583107948303,65,0.575875997543335,14211.432929754257,54,1722860278.9386058,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
66,218735,0.7853493094444275,66,0.5577841401100159,14459.887649536133,55,1722860527.3933256,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
67,222641,0.7902077436447144,67,0.5428674221038818,14708.3464012146,56,1722860775.8520772,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
68,226547,0.7955957651138306,68,0.5275843143463135,14956.798825025558,57,1722861024.304501,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
69,230453,0.8008089065551758,69,0.5124730467796326,15205.278738498688,58,1722861272.7844145,,,,,,,161,144,,,85,0,4,,,,,enc_sa=8; enc_ra=0; dec_sa=8; dec_ra=0; d_cross=8; d=144; el=4; dl=4,,31,4,worthy-totem-22
