,_step,train_loss,epoch,_runtime,_timestamp,interpolate_loss,trainer/global_step,extrapolate_teacher_forcing_acc,train_teacher_forcing_acc,interpolate_teacher_forcing_acc,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
59,59,0.23259566724300385,49,16507.782650470734,1723906159.2286766,,195299,,0.9132254719734192,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
60,60,0.2297961562871933,50,16826.06666111946,1723906477.5126872,,199205,,0.91434645652771,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
61,61,0.22737067937850952,51,17144.29914999008,1723906795.745176,,203111,,0.9153181314468384,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
62,62,0.22524812817573547,52,17462.654500961304,1723907114.100527,,207017,,0.9162073731422424,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
63,63,0.22240151464939117,53,17780.851952314377,1723907432.2979784,,210923,,0.9173421263694763,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
64,64,,54,18158.2144613266,1723907809.6604874,0.2942403554916382,214829,0.8888173699378967,,0.8888173699378967,0.2942403554916382,1.3422101736068726,1.3422101736068726,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
65,65,0.22042237222194672,54,18158.216195106506,1723907809.6622212,,214829,,0.9182161688804626,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
66,66,0.21711783111095428,55,18476.446254968643,1723908127.892281,,218735,,0.9195607304573059,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
67,67,0.2142273336648941,56,18794.721786737442,1723908446.1678128,,222641,,0.9208833575248718,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
68,68,0.21205884218215942,57,19112.99588894844,1723908764.441915,,226547,,0.9218959212303162,,,,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,volcanic-fire-46
