,trainer/global_step,extrapolate_teacher_forcing_acc,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_perplexity,_timestamp,interpolate_loss,interpolate_teacher_forcing_acc,train_teacher_forcing_acc,_step,epoch,train_loss,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
59,195299.0,,16350.646781206131,,,,1723907559.6207092,,,0.99971604347229,59.0,49.0,0.001178676844574511,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
60,199205.0,,16665.601419448853,,,,1723907874.5753474,,,0.9997161626815796,60.0,50.0,0.0011897488730028272,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
61,203111.0,,16980.5442237854,,,,1723908189.5181518,,,0.9997292757034302,61.0,51.0,0.001131096389144659,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
62,207017.0,,17295.383792877197,,,,1723908504.3577209,,,0.9997346997261047,62.0,52.0,0.001122739166021347,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
63,210923.0,,17610.42219018936,,,,1723908819.3961182,,,0.9997369050979614,63.0,53.0,0.0011055880459025502,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
64,214829.0,0.999978244304657,17984.388315677643,7.271222420968115e-05,1.0000684261322021,1.0000684261322021,1723909193.3622437,7.271222420968115e-05,0.999978244304657,,64.0,54.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
65,214829.0,,17984.39009666443,,,,1723909193.3640246,,,0.9997467994689941,65.0,54.0,0.0010733382077887654,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
66,218735.0,,18299.369159698486,,,,1723909508.3430877,,,0.9997453093528748,66.0,55.0,0.0010752815287560225,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
67,222641.0,,18614.218039035797,,,,1723909823.191967,,,0.999748170375824,67.0,56.0,0.0010640880791470408,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
68,226547.0,,18929.065388917923,,,,1723910138.039317,,,0.9997572898864746,68.0,57.0,0.0010336973937228322,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
69,230453.0,,19243.914338588715,,,,1723910452.8882666,,,0.9997544884681702,69.0,58.0,0.0010285528842359781,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
70,234359.0,0.9999369978904724,19617.611330270767,0.00025620387168601155,1.000253677368164,1.000253677368164,1723910826.5852582,0.00025620387168601155,0.9999369978904724,,70.0,59.0,,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
71,234359.0,,19617.613087177277,,,,1723910826.5870152,,,0.9997673034667969,71.0,59.0,0.000987870735116303,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,vocal-firefly-46
