,train_teacher_forcing_acc,train_loss,interpolate_loss,trainer/global_step,interpolate_perplexity,_runtime,extrapolate_loss,extrapolate_perplexity,interpolate_teacher_forcing_acc,epoch,extrapolate_teacher_forcing_acc,_timestamp,_step,loss_ignore_idx,abstractor_kwargs,output_spec,out_block_size,decoder_kwargs,encoder_kwargs,d_model,n_layers_dec,in_block_size,n_layers_enc,input_spec,out_dim,group,symbol_retrieval,symbol_retrieval_kwargs,name
63,0.8859778046607971,0.20821720361709595,,210923,,17758.271912574768,,,,53,,1723886531.5300896,63,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
64,,,0.22483453154563904,214829,1.2521508932113647,18135.42865371704,0.22483453154563904,1.2521508932113647,0.8828782439231873,54,0.8828782439231873,1723886908.6868308,64,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
65,0.8860899209976196,0.20776407420635223,,214829,,18135.430453538895,,,,54,,1723886908.6886306,65,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
66,0.8861492872238159,0.20743033289909363,,218735,,18453.210020542145,,,,55,,1723887226.4681976,66,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
67,0.8863391876220703,0.20717553794384003,,222641,,18770.91783952713,,,,56,,1723887544.1760166,67,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
68,0.886418879032135,0.20680584013462067,,226547,,19088.685486078262,,,,57,,1723887861.9436631,68,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
69,0.8864003419876099,0.20659494400024414,,230453,,19406.46830010414,,,,58,,1723888179.7264771,69,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
70,,,0.2236093431711197,234359,1.2506176233291626,19783.35589671135,0.2236093431711197,1.2506176233291626,0.8834294080734253,59,0.8834294080734253,1723888556.6140738,70,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
71,0.8865348696708679,0.2061225175857544,,234359,,19783.357660770416,,,,59,,1723888556.6158378,71,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
72,0.8866357207298279,0.20589056611061096,,238265,,20101.20569896698,,,,60,,1723888874.463876,72,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
73,0.8867902159690857,0.2055671066045761,,242171,,20418.96977829933,,,,61,,1723889192.2279553,73,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
74,0.8868359923362732,0.2053525745868683,,246077,,20736.6855404377,,,,62,,1723889509.9437175,74,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
75,0.8869480490684509,0.20505064725875854,,249983,,21054.542097330093,,,,63,,1723889827.8002744,75,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
76,,,0.2207726687192917,253889,1.2470749616622925,21431.543699026108,0.2207726687192917,1.2470749616622925,0.8841915726661682,64,0.8841915726661682,1723890204.801876,76,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
77,0.8869083523750305,0.20482735335826874,,253889,,21431.545498132706,,,,64,,1723890204.8036752,77,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
78,0.8870452642440796,0.20451635122299194,,257795,,21749.319977283478,,,,65,,1723890522.5781543,78,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
79,0.887124240398407,0.2042175978422165,,261701,,22067.218445777893,,,,66,,1723890840.4766228,79,0,,,31,,,128,4,161,4,,85,enc_sa=4; enc_ra=4; dec_sa=8; dec_ra=0; d_cross=8; d=128; el=4; dl=4,position_relative,,absurd-moon-46
