,_step,_timestamp,trainer/global_step,interpolate_perplexity,train_loss,interpolate_teacher_forcing_acc,extrapolate_teacher_forcing_acc,interpolate_loss,extrapolate_loss,extrapolate_perplexity,train_teacher_forcing_acc,epoch,_runtime,d_model,n_layers_enc,n_layers_dec,symbol_retrieval,group,name
922,115,1715232288.2361288,378881,,0.2080204039812088,,,,,,0.9270458817481995,96,31307.281693696976,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
923,116,1715232598.2465565,382787,,0.2073429673910141,,,,,,0.927274227142334,97,31617.29212141037,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
924,117,1715232908.2328727,386693,,0.20704026520252228,,,,,,0.9273862838745117,98,31927.27843761444,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
925,118,1715233282.9135625,390599,1.2707257270812988,,0.9222174882888794,0.9222174882888794,0.23941612243652344,0.23941612243652344,1.2707257270812988,,99,32301.959127426147,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
926,119,1715233282.9160485,390599,,0.20607273280620575,,,,,,0.9276933073997498,99,32301.96161341667,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=4; d_rca=4; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",soft-dawn-75
927,0,1715194464.447001,3905,,1.322169542312622,,,,,,0.5286780595779419,0,303.8060050010681,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
928,1,1715194762.6162252,7811,,0.8161568641662598,,,,,,0.7094685435295105,1,601.9752292633057,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
929,2,1715195060.7402744,11717,,0.6783115267753601,,,,,,0.7586238980293274,2,900.0992784500122,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
930,3,1715195358.7536142,15623,,0.6198740601539612,,,,,,0.7786251902580261,3,1198.1126182079315,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
931,4,1715195718.9333026,19529,1.6478451490402222,,0.8179869055747986,0.8179869055747986,0.4992530047893524,0.4992530047893524,1.6478451490402222,,4,1558.2923066616058,128,2,2,pos_relative,"e_sa=4; e_rca=4; d_sa=8; d_rca=0; d_cross=8; d=128; rca_type=disentangled_v2, symbol_type=pos_relative; el=2; dl=2",crisp-durian-74
